"生成AIの運用において、運用担当者とユーザ間で密に情報交換をすることの重要性は何ですか？","適切な情報共有により、生成AIの有効活用と継続的な改善に繋がり、導入効果の最大化が期待できるためです [22, 23]。"
"生成AIに関するセキュリティインシデント事例として紹介されているサムスン電子社の情報流出事例の原因は何でしたか？","生成AIのデータ管理の仕組みと、それに対するユーザの認識不足です。入力データがサーバに保存されモデル改善に使用される際に機密情報が外部に漏れるリスクがあったこと、およびユーザがチャット履歴の保存を手動で無効にしない限りデータが残る設定が原因と考えられます [24]。"
"リスク管理全体の概観として、大まかに4つの工程が挙げられています。リスク特定、リスク分析、リスク評価の他に何がありますか？","リスク対応です [25]。"
"リスク分析工程において、洗い出した各リスクの定量値を比較する方法として例示されているものは何ですか？","リスクマトリクスです [25]。"
"「生成AI導入・運用ガイドライン」では、テキスト生成AIを組織に導入する上で必要と考えるリスクカテゴリーを4つに分類しています。その4つとは何ですか？","運用時のリスク、攻撃に起因するリスク、技術的なリスク、法規制や社会的なリスクです [26]。"
"攻撃に起因するリスクとして挙げられているサイバー攻撃の例を3つ挙げてください。","情報抽出攻撃（プライバシー攻撃）、回避攻撃（敵対的プロンプト）、ポイズニング攻撃などが存在します [27]。"
"ヒアリング結果によると、組織が特に重視しているセキュリティリスクは何でしたか？","情報漏洩とハルシネーションの2点でした [28]。"
"情報漏洩リスクに対する組織の対策として、ガバナンス面でどのような対策が挙げられましたか？","組織内の生成AIの取扱い方法や規則を記載したガイドライン・ポリシーの作成です [28]。"
"ハルシネーションリスクに対する組織の対策として挙げられたのは何ですか？","ユーザの生成AIに対する認識とスキルを向上させるための教育や、RAGを用いた回答精度の向上です [29]。"
"ヒアリング結果から見えた、生成AIシステム導入に際した2つの懸念事項は何でしたか？","サービス利用における既存の規程やガイドラインとの兼ね合いと、導入したシステムの利用率の低さです [30]。"
"RAGを業務に活用する上での課題として、ヒアリングで多くの組織が回答したことの一つは何ですか？","ベクトルDBに格納するデータの選定や更新、アクセス権限管理といった運用体制の構築が挙げられました [31]。"
"生成AIの利用率が低いという懸念に対する対策例として、「生成AIを業務で利用する時間を確保する」ことの他に、どのような対策が挙げられていますか？","生成AIに関する教育を実施すること、セキュリティの担保された環境を構築し利用を促すことなどが挙げられています [32]。"
"生成AIシステム導入の推進において、経営層の協力は不可欠であると考えられています。その理由は何ですか？","経営層が導入を推進する強い意向を示すことは、組織全体に生成AI活用の重要性を広めることや積極的な利用文化の構築に大きく影響するからです [33]。"
"組織がテキスト生成AIを導入する際の「要件定義」フェーズで検討すべき内容には何が含まれますか？","策定した目的に基づいて導入目標を定め、生成AIシステムに必要な機能や条件を定義します。また、利用ポリシーとユーザへの教育内容、生じるリスクについても検討します [9, 10]。"
"生成AIの回答精度向上のための技術であるファインチューニングの注意点は何ですか？","学習させるデータの量と質が性能に大きく影響するため大量のデータ用意が重要であること、学習内容を特化させた分汎用性が低下する可能性がある点に注意が必要です [11]。"
"RAGにおけるベクトルDBの検索を正確に行うためには何が重要ですか？","ファインチューニングと同様に格納するデータの質を確保することが重要です [12]。"
"生成AIシステムの簡易的な構成例として、「フロントエンド」「バックエンド」の他に何が挙げられていますか？","「連携システム」が挙げられます。これにはRAGに使用するベクトルDBやログサーバなどが該当します [34]。"
"テキスト生成AIの組織活用における「業務の効率化」の具体的な例を挙げてください。","文章の校正、資料の要約、Excelマクロのコード生成等、作業時間の短縮およびコスト削減、品質向上に寄与することです [35]。"
"テキスト生成AIの組織活用における「意思決定の補助」の具体的な例を挙げてください。","大量のデータを素早く分析して多様な示唆を提示できるため、過去事例や公開情報の調査、必要な情報の抽出等、意思決定プロセスを支援することです [35]。"
"テキスト生成AIの組織活用における「新事業の提案補助」の具体的な例を挙げてください。","既存データから新しいアイデアのブレーンストーミング補助が可能であり、ソリューションの提案や需要が高いソリューション傾向の抽出等に活用されることです [35]。"
"利活用ガイドラインに記載すべき項目として、「利用制限に関する項目」「効果的な利用方法に関する項目」の他に何が推奨されますか？","「入力制限に関する項目」「生成物（回答）に関する項目」などが推奨されます [18, 36, 37]。"
"生成AIへの入力が制限されることが推奨される情報として、著作権保護情報、個人情報の他に何が挙げられていますか？","組織の機密情報が挙げられています [18]。"
"生成AIの生成物に関する注意点として、生成物の解釈に関してハルシネーションとバイアスの確認が重要ですが、引用および外部公開に関して注意すべき点は何ですか？","引用元の注釈、著作権、商用利用の制限、権利侵害（著作権、商標権、意匠権侵害、虚偽の個人情報・名誉毀損）の確認が挙げられます [19, 20]。"
"透明性を確保・維持するために実施可能な手段の例を3点挙げてください。","参照元の明示、回答生成プロセスにおける判断根拠の説明、ログの収集と分析などが挙げられています [21]。"
"リスクアセスメントの「リスク特定」の手順として、「資産の特定」の次に実施することは何ですか？","資産毎にどのようなリスクが存在するのか、リスクの洗い出しを行います [38]。"
"RAG（検索拡張生成）への攻撃手法として説明されている「間接プロンプトインジェクション」とは、具体的にどのような仕組みの攻撃ですか？","回答生成時にWebクロールを行う生成AIを対象とし、攻撃者が事前にウェブサイトに記載した悪意のある指示文を紛れ込ませ、生成AIに指示を与えてその挙動を乗っ取ることができる攻撃です [39]。"
"企業でのRAG導入に伴い発生した課題の例として、ヒアリングでベクトルDBへの格納データの選定・更新、アクセス権限管理の他に何が挙げられていますか？","RAGによる回答精度はベクトルDBの情報に依存するため、ユーザの期待と回答精度の間にギャップが生じることが挙げられています [31]。"
"生成AIシステムの利用率向上に向けた対策例として、「ユーザが生成AIを利用する時間の確保」と「生成AIに関する教育の実施」の他に何が推奨されていますか？","セキュリティの担保された環境を構築し、ユーザに安心感を与え利用を促すことが推奨されています [32]。"
"「生成AI導入・運用ガイドライン」の本書のスコープにおいて、テキスト生成以外のAI技術は対象外とされていますが、具体的にどのようなAI技術が対象外とされていますか？","画像生成AIや動画生成AIなどが対象外とされています [6]。"
"テキスト生成AIの入力から回答までの流れにおいて、ユーザからのプロンプトは統合ミドルウェアに渡された後、LLMへの問い合わせの前にどのように処理されますか？","プロンプトはLLMで処理可能にするため、トークンと呼ばれる形式に変換されます。RAGを使用する場合は、問い合わせの前にベクトルDBへの検索が行われ、検索結果がプロンプトに追加されてからトークンへの変換と問い合わせが行われます [34]。"
"RAGを導入することの優位性の一つとして、Microsoftの検証結果が引用されていますが、RAGは何と比較して優れたパフォーマンスを発揮するとされていますか？","ファインチューニングと比較して優れたパフォーマンスを発揮するとされています [13]。"
"利活用ガイドラインを策定せずに生成AIを運用している企業が多い現状ですが、ガイドラインが存在しない場合、どのような事態が発生する可能性が高まりますか？","生成AIの利用方法をユーザが自己判断せざるを得ず、個人情報を入力して漏洩してしまう、効果的な利用方法がわからず利用をやめてしまうなどの事態が発生する可能性が高くなります [36]。"
"生成AIの生成物に関する著作権について、2024年6月時点での議論の状況を踏まえて、どのような点に注意が必要ですか？","生成物自体は著作物に該当しない場合がありますが、人が思想感情を創作的に表現するための道具としてAIを使用した場合、著作物に該当しユーザが著作者となる場合もあります。著作権に関しては現在も議論が進められているため、常に動向を調査する必要があります [19]。"
"運用担当者がユーザから得た情報を活用する方法として、利活用ガイドラインの改善、ユーザへの情報共有の他に何がありますか？","生成AIのシステム改善に活用することが期待できます [22, 23]。"
"リスク管理の工程である「リスク評価」において、対策の方向性として、回避、軽減、受容の他に何を選択することがありますか？","移転を選択することがあります [25]。"
"リスク管理を行う際、セキュリティ担当者には誰と協力することが求められますか？","導入担当者や運用担当者、および必要な関係者と協力することが求められます [40]。"
"組織におけるテキスト生成AIの利用において、誤解の例として「RAGを利用するとどのような質問に対しても正しく回答できる」というものがありますが、これはなぜ誤解なのですか？","RAGによる回答精度が向上するのはベクトルDBに格納された情報についてのみであり、ベクトルDBに格納されていない情報については回答精度が向上しないためです [41]。"
"誤解例として「ベクトルDBに格納した情報であれば正確に回答できる」というものがありますが、これもなぜ誤解なのですか？","RAGを使用していたとしてもテキスト生成AIの根幹はLLMであり、ハルシネーションなど誤った回答を出力する可能性があるため、必ずしも正確な回答ができるとは言えません [41]。"
"リスク対応を決定する意思決定の工程であるリスク評価において、協力が得ることが重要とされる組織内の立場は何ですか？","経営層をはじめとした意思決定者です [40]。"
"企業IT利活用動向調査2024によると、会社で構築・契約した生成AIを使用している企業のうち、利活用ガイドラインが策定されている企業の割合はどのくらいですか？","68.6%です [36]。"
"RAGにおけるアクセス管理の実装例として、どのような方法が紹介されていますか？","ベクトルDBに格納されている情報の重要度毎に参照できるユーザを設定する方法が紹介されています [42]。"
"間接プロンプトインジェクションのリスクに対し、ヒアリングした組織ではどのような認識が見られましたか？","リスクは低いものと認識されている傾向があり、具体的な対策手法を含め現在も組織内で検討を進めている途中であるということがわかりました [29]。"
"ヒアリング結果によると、システム導入当初のユーザからの質問内容はどのような傾向がありましたか？","「生成AIというものがどういうものか」「どのように活用すればよいか（活用法）」など、基本的な内容が多い傾向にありました [31]。"
"ヒアリング結果によると、導入から約1年が経過した現在、ユーザからの質問内容はどのように変化していますか？","「新たなサービスを導入してほしい」「RAGの効果的な使い方がわからない」「外販に活用するためにはどうしたらよいのか」などの、当初の質問に比べ高度な質問に変化しています [31]。"
"既存の規程やガイドラインとの兼ね合いに関する懸念において、特に生成AIシステムと関連が深いものとしてヒアリングで挙げられたのは何ですか？","クラウドにおける規定・ポリシー（クラウド規定）や輸出管理規定などが挙げられました [30]。"
"セキュリティ担当者がリスク管理を行う上で、常に念頭に置くべきこととして何が挙げられていますか？","生成AIに対する新たな攻撃手法や脆弱性が報告され続け、今後攻撃が高度化・増加していくこと、また攻撃者が生成AIを利用して攻撃を仕掛けるケースも考えられるため、このような新たなセキュリティリスクが常に増え続けることです [39]。"
"「生成AI導入・運用ガイドライン」の構成において、第3章から第5章ではそれぞれの担当者（導入担当者、運用担当者、セキュリティ担当者）ごとの考慮事項が記載されていますが、第6章ではどのような内容が記載されていますか？","現在の日本企業における生成AI利活用の事例と実態調査結果が記載されています [8]。"
"第7章「各国の動向」において、法規制の観点から欧州のAI規制法が2024年5月に可決されたことに触れられていますが、この法規制の背景にある欧州の価値観は何ですか？","EUに住む個人の権利を保護する価値観が反映されており、EU域内でのデータの活発な利用と厳格な消費者保護ルールの遵守を前提としています [43]。"
"「生成AI導入・運用ガイドライン」の謝辞において、ヒアリングに協力した対象は誰ですか？","自治体、企業の皆様です [44]。"
"用語集によると、「ハルシネーション」とはどのような現象を指しますか？","AIが事実に基づかない情報を生成する現象で、AIが幻覚を見ているかのようにもっともらしい嘘を出力するためそのように呼ばれます [45]。"
"用語集によると、「トークン」とはLLMへ問い合わせを行う際に分割したプロンプトの最小単位を指しますが、生成AIのクラウドサービス利用においてトークンの数が何に影響する場合がありますか？","料金に影響する場合があります [45]。"
"用語集によると、「ベクトルDB」はどのような目的で利用されますか？","情報をデータオブジェクトの数値表現であるベクトルとして保存するデータベースであり、生成AIが扱う非構造データの格納・管理・照会で利用されます [46]。"
"RAG利用に関する留意点として、2024年6月現在も研究が進められている課題は何ですか？","ベクトルDBに機密情報を含むデータを格納した場合に全てのユーザが参照できる問題、ユーザや部門ごとに格納データを分けることや参照データに閲覧権限を設定することの難しさなどです [17]。"
"生成AIの運用・評価において、導入効果の評価を定期的に行うことが重要ですが、評価項目の一つとして「業務品質」を評価する手法の例は何ですか？","アンケートやユーザインタビュー等があります [47]。"
"日本のAI開発について、AI Index Reportでは学習データの枯渇に関する可能性が示唆されていますが、信頼のおけるテキストデータはいつ頃枯渇すると予測されていますか？","2024年に枯渇すると予測されています [48]。"
"日本がAI開発における存在感を高める契機となる可能性の一つとして、「よりスマートなAIの開発」が挙げられていますが、これはどのような開発を指しますか？","より小さい処理量で演算を行う省エネルギーなAIの開発を指します [48]。"
"日本企業がAIを活用したビジネスの差別化を実現するための鍵は何ですか？","業界や会社に特化した生成AIが鍵を握ると考えられています [49]。"
"業界に特化した生成AIを導入するための第一歩として推奨されている事前準備は何ですか？","自社が所属する業界の特性を分析し、学習させる自社のデータを分類するなど、自社が持つデータの利活用について検討することです [49]。"
"各国で行われたAIに関するアンケート結果によると、「AIを理解しているか」という質問に対し、日本で「理解している」と回答した割合は米国やインドネシアと比べてどうでしたか？","米国（67%）やインドネシア（84%）を下回る43%でした [49]。"
